n_vehicles,to_stop_I,route_type,from_stop_I,duration_avg,route_I_counts,BUS,FERRY,id,stop_I,name,lon_bus,lat_bus,lon_ferry,lat_ferry,stop_lon,stop_lat
1,2262,3,2405,60.0,{'414': 1},1,0,1813,2405,Campoverardo,12.062175,45.394115,12.071756,45.386967,12.062175,45.394115
3,2324,3,2406,40.0,"{'635': 1, '428': 2}",1,0,1814,2406,Crociata - civico 57,12.057688,45.390671,12.06226,45.393501,12.057688,45.390671
1,2408,3,2407,120.0,{'636': 1},1,0,1815,2407,Crociata - civico 52/A,12.05748,45.390751,12.050577,45.394161,12.05748,45.390751
2,2137,3,2407,120.0,"{'416': 1, '505': 1}",1,0,1815,2407,Crociata - civico 52/A,12.05748,45.390751,12.048965,45.386539,12.05748,45.390751
25,1057,3,2408,19.2,"{'478': 1, '480': 3, '636': 1, '475': 1, '483': 1, '477': 3, '539': 1, '479': 12, '538': 1, '476': 1}",1,0,1816,2408,Bar Giardinetto,12.050577,45.394161,12.052189,45.399483,12.050577,45.394161
21,2137,3,2409,60.0,"{'438': 1, '493': 3, '500': 2, '498': 6, '497': 1, '496': 1, '494': 2, '541': 1, '495': 3, '540': 1}",1,0,1817,2409,Bar Giardinetto,12.050426,45.394096,12.048965,45.386539,12.050426,45.394096
1,2406,3,2409,120.0,{'635': 1},1,0,1817,2409,Bar Giardinetto,12.050426,45.394096,12.057688,45.390671,12.050426,45.394096
34,2412,3,2410,21.176470588235293,"{'479': 12, '480': 3, '482': 1, '483': 1, '539': 1, '442': 6, '478': 1, '410': 1, '475': 1, '477': 3, '413': 1, '538': 1, '476': 1, '411': 1}",1,0,1818,2410,Villag.  Amicizia,12.051836,45.40876,12.05397,45.411747,12.051836,45.40876
20,1056,3,2411,60.0,"{'493': 3, '500': 2, '498': 6, '497': 1, '496': 1, '494': 2, '541': 1, '495': 3, '540': 1}",1,0,1819,2411,Villag. Amicizia,12.051694,45.408794,12.051648,45.399258,12.051694,45.408794
4,2427,3,2411,180.0,"{'439': 1, '440': 2, '441': 1}",1,0,1819,2411,Villag. Amicizia,12.051694,45.408794,12.039568,45.406055,12.051694,45.408794
2,2405,3,2411,180.0,"{'414': 1, '505': 1}",1,0,1819,2411,Villag. Amicizia,12.051694,45.408794,12.062175,45.394115,12.051694,45.408794
34,2414,3,2412,56.47058823529412,"{'479': 12, '480': 3, '482': 1, '483': 1, '539': 1, '442': 6, '478': 1, '410': 1, '475': 1, '477': 3, '413': 1, '538': 1, '476': 1, '411': 1}",1,0,1820,2412,Paluello Centro,12.05397,45.411747,12.052522,45.417149,12.05397,45.411747
26,2411,3,2413,57.69230769230769,"{'493': 3, '541': 1, '497': 1, '414': 1, '439': 1, '505': 1, '500': 2, '440': 2, '496': 1, '498': 6, '494': 2, '540': 1, '495': 3, '441': 1}",1,0,1821,2413,Paluello Centro,12.053779,45.411728,12.051694,45.408794,12.053779,45.411728
24,2416,3,2414,60.0,"{'479': 12, '480': 3, '410': 1, '413': 1, '483': 1, '477': 3, '482': 1, '476': 1, '411': 1}",1,0,1822,2414,Casello 9,12.052522,45.417149,12.060034,45.418938,12.052522,45.417149
7,1712,3,2414,0.0,"{'442': 6, '475': 1}",1,0,1822,2414,Casello 9,12.052522,45.417149,12.05337,45.418423,12.052522,45.417149
3,1711,3,2414,40.0,"{'539': 1, '478': 1, '538': 1}",1,0,1822,2414,Casello 9,12.052522,45.417149,12.050804,45.418388,12.052522,45.417149
